county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
南投縣,信義鄉,12178,4005.1,23.668388917846592,120.8868676909822
南投縣,水里鄉,4996,2979.74,23.800311030557264,120.8599510631981
南投縣,魚池鄉,7008,2932.83,23.8868050766836,120.9269999865692
南投縣,鹿谷鄉,8349,2817.8,23.749018675023343,120.77054572086375
南投縣,南投市,11094,2569.79,23.91521961113722,120.67511917847067
南投縣,集集鎮,4503,1615.56,23.837179117888745,120.78576295486441
彰化縣,芳苑鄉,21532,7442.22,23.95430291394439,120.35459800829233
彰化縣,二林鎮,23126,7076.46,23.91678014795413,120.404688737228
彰化縣,溪州鄉,19098,4347.05,23.83060325426806,120.52186109181179
彰化縣,大城鄉,11616,3667.23,23.856206791350612,120.31587584824003
彰化縣,福興鄉,15403,3393.63,24.02944702953386,120.42994610046803
彰化縣,埤頭鄉,15165,3124.91,23.88199071185413,120.46670352967185
彰化縣,竹塘鄉,11054,3005.12,23.853085529552366,120.41426461436113
彰化縣,鹿港鎮,12814,2918.43,24.08275150660421,120.45047708779141
彰化縣,埔鹽鄉,12751,2716.35,23.992105236135103,120.45899308415748
彰化縣,和美鎮,12410,2151.08,24.11292595729879,120.51069297260472
彰化縣,彰化市,10761,1891.16,24.079213290727726,120.57032854600772
彰化縣,田中鎮,13923,1888.02,23.856064773222332,120.58348634962654
彰化縣,溪湖鎮,10215,1818.38,23.949924824828766,120.48421035281753
彰化縣,秀水鄉,8190,1793.15,24.031769464597073,120.50424462301444
彰化縣,社頭鄉,8201,1767.28,23.90654588200539,120.59612464020489
彰化縣,伸港鄉,7732,1732.95,24.164516591284936,120.48452479007257
彰化縣,田尾鄉,11626,1647.34,23.901189446506347,120.52111341271396
彰化縣,芬園鄉,9660,1533.08,24.009527894620458,120.63422488369444
彰化縣,大村鄉,8776,1458.18,23.991050762097494,120.54715525596811
彰化縣,二水鄉,9737,1421.2,23.80547894299223,120.6252034798607
彰化縣,員林市,8272,1360.09,23.954326617940804,120.5879432807872
彰化縣,花壇鄉,6872,1339.51,24.02960970650231,120.5501988640582
彰化縣,永靖鄉,9119,1249.09,23.921408813042827,120.54044575642226
彰化縣,埔心鄉,9170,1207.31,23.952538238559672,120.53285829211046
彰化縣,線西鄉,5142,1202.76,24.131253146291595,120.45759105552715
彰化縣,北斗鎮,8490,1197.42,23.86629763054481,120.53445357779698
新竹市,香山區,6849,1120.94,24.771187578175063,120.92572417254252
新竹市,北區,2510,360.05,24.828530956278662,120.94322755410427
新竹市,東區,2408,359.7,24.79970166628933,120.99835254097373
雲林縣,古坑鄉,16934,7343.2,23.63469552285538,120.58297823168917
雲林縣,麥寮鄉,11129,5898.41,23.782468607247797,120.25839063288684
雲林縣,元長鄉,19053,5651.64,23.642655082471695,120.32762972437833
雲林縣,水林鄉,20065,5626.11,23.561991748131558,120.23521632912264
雲林縣,四湖鄉,13338,5444.48,23.64127661394205,120.21042737963155
雲林縣,口湖鄉,12399,5183.49,23.573115757882146,120.17184899342486
雲林縣,二崙鄉,16530,4454.57,23.79140538857149,120.39543247539861
雲林縣,斗六市,15926,4387.74,23.70673111188956,120.54789800178827
雲林縣,臺西鄉,10332,4323.48,23.716909388395568,120.20612548877607
雲林縣,崙背鄉,11510,4286.51,23.778294052892214,120.33296477896998
雲林縣,虎尾鎮,14941,4041.97,23.716983471218782,120.42824143258083
雲林縣,莿桐鄉,14423,3768.06,23.767452963882903,120.52759346990582
雲林縣,東勢鄉,10460,3627.82,23.696427324343222,120.25629673790314
雲林縣,土庫鎮,13223,3597.72,23.691424626537508,120.36383332416774
雲林縣,大埤鄉,12288,3346.61,23.645920365937556,120.42493099527157
雲林縣,西螺鎮,12696,3251.64,23.775572410526145,120.45725222214877
雲林縣,斗南鎮,11364,3121.88,23.668937512542133,120.48392268586095
雲林縣,北港鎮,8795,2806.66,23.595161786944114,120.292861711279
雲林縣,褒忠鄉,5986,2749.63,23.717111957293568,120.31248004300663
雲林縣,林內鄉,10922,2125.67,23.758863518983265,120.60405462550493
嘉義縣,中埔鄉,22424,7691.33,23.40729602595324,120.53474205575522
嘉義縣,義竹鄉,16451,6108.15,23.347147051514916,120.22456954817284
嘉義縣,東石鄉,15372,5689.28,23.469329467469823,120.17359186861819
嘉義縣,竹崎鄉,17182,5576.32,23.506551132277888,120.56958370787616
嘉義縣,布袋鎮,10503,5433.32,23.377032461173908,120.18161051076935
嘉義縣,民雄鄉,21878,5068.48,23.544506331219083,120.43849681368397
嘉義縣,新港鄉,18134,4973.83,23.54658043291027,120.34799754136314
嘉義縣,太保市,15458,4699.04,23.472052457584866,120.34240233215071
嘉義縣,六腳鄉,16147,4527.75,23.509481966523943,120.27127995214279
嘉義縣,鹿草鄉,11649,4112.43,23.408317829740195,120.30379709058033
嘉義縣,水上鄉,13539,4097.05,23.430349026612934,120.4064489348321
嘉義縣,梅山鄉,11696,4021.58,23.56056991612494,120.61228765930875
嘉義縣,大林鎮,13881,3707.15,23.602020850685847,120.47733303593694
嘉義縣,朴子市,12863,3694.73,23.44378146510928,120.2531272044048
嘉義縣,番路鄉,9159,3502.03,23.435208072110612,120.6034266544364
嘉義縣,溪口鄉,9767,2468.93,23.592889575386167,120.4007413233377
嘉義縣,大埔鄉,2690,1609.45,23.301454713703496,120.58875786244829
嘉義縣,阿里山鄉,7708,1454.42,23.409959557707477,120.70988277435161
屏東縣,高樹鄉,24150,5675.99,22.806620800060507,120.60292876098417
屏東縣,內埔鄉,15020,5527.25,22.65229174836364,120.58741329519809
屏東縣,萬巒鄉,13061,4751.97,22.581041348228176,120.60103500213407
屏東縣,枋寮鄉,10781,4338.31,22.404468795488864,120.59833245266087
屏東縣,萬丹鄉,18057,4268.79,22.588102857324227,120.4786318613837
屏東縣,新埤鄉,8899,4198.46,22.487761888463055,120.58300703882782
屏東縣,鹽埔鄉,11645,4130.96,22.742008289552555,120.56574094932228
屏東縣,恆春鎮,11455,3857.92,21.98707908108452,120.74274617398147
屏東縣,里港鄉,11564,3523.6,22.79816750753571,120.50301193235666
